Time(s),Theta_MATLAB,Omega_MATLAB,Theta_CPP,Omega_CPP,Theta_IKF,Omega_IKF,CycleTime_us
0.235000,1.312552,1.632154,0.972735,3.129236,1.312551,1.631561,8.000000
0.236000,1.314185,1.635197,0.975869,3.137399,1.314185,1.634603,8.000000
0.237000,1.315822,1.638220,0.979011,3.145523,1.315822,1.637626,8.000000
0.238000,1.317462,1.641224,0.982160,3.153609,1.317461,1.640630,8.000000
0.239000,1.319104,1.644209,0.985319,3.161656,1.319104,1.643615,8.000000
0.240000,1.320750,1.647175,0.988485,3.169665,1.320750,1.646581,8.000000
0.241000,1.322399,1.650122,0.991659,3.177634,1.322399,1.649528,8.000000
0.242000,1.324050,1.653050,0.994841,3.185564,1.324050,1.652456,17.000000
0.243000,1.325705,1.655959,0.998031,3.193455,1.325705,1.655365,15.000000
0.244000,1.327362,1.658848,1.001228,3.201307,1.327362,1.658254,16.000000
0.245000,1.329023,1.661718,1.004434,3.209119,1.329022,1.661124,14.000000
0.246000,1.330686,1.664569,1.007647,3.216891,1.330685,1.663975,11.000000
0.247000,1.332352,1.667400,1.010868,3.224623,1.332351,1.666806,20.000000
0.248000,1.334021,1.670213,1.014097,3.232315,1.334020,1.669618,12.000000
0.249000,1.335692,1.673005,1.017334,3.239966,1.335692,1.672411,13.000000
0.250000,1.337367,1.675778,1.020578,3.247577,1.337366,1.675184,54000.000000
0.251000,1.339044,1.678532,1.023830,3.255148,1.339043,1.677937,12.000000
0.252000,1.340724,1.681266,1.027089,3.262677,1.340723,1.680671,10.000000
0.253000,1.342406,1.683980,1.030356,3.270166,1.342406,1.683386,10.000000
0.254000,1.344092,1.686675,1.033630,3.277613,1.344091,1.686081,11.000000
0.255000,1.345780,1.689350,1.036912,3.285019,1.345779,1.688756,10.000000
0.256000,1.347470,1.692006,1.040201,3.292384,1.347470,1.691411,102.000000
0.257000,1.349164,1.694641,1.043497,3.299707,1.349163,1.694047,25.000000
0.258000,1.350860,1.697257,1.046801,3.306988,1.350859,1.696663,8.000000
0.259000,1.352558,1.699853,1.050112,3.314227,1.352558,1.699259,10.000000
0.260000,1.354259,1.702430,1.053430,3.321424,1.354259,1.701835,17.000000
0.261000,1.355963,1.704986,1.056756,3.328578,1.355963,1.704391,10.000000
0.262000,1.357669,1.707522,1.060088,3.335691,1.357669,1.706928,12.000000
0.263000,1.359378,1.710039,1.063428,3.342760,1.359378,1.709444,10.000000
0.264000,1.361089,1.712535,1.066774,3.349787,1.361089,1.711941,10.000000
0.265000,1.362803,1.715012,1.070128,3.356770,1.362803,1.714417,11.000000
